num_atoms,num_parts,avg_part_size,num_mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_ratio,forces_error_mse,forces_error_rms,benchmark_time,all_partition_time,avg_partition_time
3456,20,1904.05,3,0.00390625,2.277715509535483e-05,0.02218368649482727,0.0009252633899450302,2606.743049621582,0.0044810446,5.15718238602858e-06,0.002270943019539118,0.34670889377593994,3.1497359037399293,0.15748679518699646
3456,20,2830.1,4,0.005859375,3.416573690628866e-05,0.0013297498226165771,3.337916132295504e-05,49.74628388881683,0.00016001296,1.4351238419862966e-08,0.00011979665578110144,0.3422504186630249,4.4622129678726195,0.22311064839363098
3456,20,3400.05,5,0.005859375,3.416573690628866e-05,1.0132789611816406e-06,1.2918019365315558e-07,21.35024666786194,6.1107323e-07,3.3799155694288346e-14,1.8384547217920044e-07,0.34808573722839353,5.6837975740432745,0.2841898787021637
3456,20,3456.0,6,0.0078125,4.5554318717222486e-05,7.450580596923828e-07,1.010347432384151e-07,17.36427992582321,4.770305e-07,1.9473626270555267e-14,1.3954793587345193e-07,0.3424652576446533,5.8812564373016345,0.2940628218650817
3456,20,3456.0,7,0.0078125,4.5554318717222486e-05,7.152557373046875e-07,9.827200386780532e-08,35.49559414386749,4.6544935e-07,1.851844923879322e-14,1.360825052643122e-07,0.338983416557312,5.969062471389771,0.29845312356948855
3456,20,3456.0,8,0.00390625,2.277715509535483e-05,9.028353815665469e-07,9.964013969465668e-08,16.675445437431335,4.7229466e-07,1.9132265216548205e-14,1.3831943590503215e-07,0.33541948795318605,6.0920230627059935,0.3046011531352997
5184,20,1792.35,2,0.16015625,0.0006225663128134329,0.16537630558013916,0.010022585280239582,1779944.921875,0.048023496,0.00036843016277998686,0.019194534048438072,0.4784538745880127,2.7957789182662967,0.13978894591331484
5184,20,3033.95,3,0.015625,6.073818212826154e-05,0.022452235221862793,0.0007457407773472369,10104.388427734375,0.0036073867,3.9582537283422425e-06,0.0019895359873771667,0.48158864974975585,4.614670300483703,0.23073351502418515
5184,20,4445.85,4,0.01953125,7.59227191338141e-05,0.0013350844383239746,1.8312530301045626e-05,179.1834592819214,8.9374924e-05,6.634722993226205e-09,8.145380706992e-05,0.4720661163330078,7.056232333183289,0.35281161665916444
5184,20,5131.6,5,0.0234375,9.110725045502477e-05,1.1920928955078125e-06,1.4216593058336002e-07,29.67233657836914,6.741805e-07,4.0757870169161325e-14,2.018857827579268e-07,0.509463906288147,8.659842371940613,0.43299211859703063
5184,20,5184.0,6,0.01953125,7.59227191338141e-05,7.748603820800781e-07,9.732251982086382e-08,11.465361714363098,4.5978533e-07,1.8092374725665362e-14,1.3450789992930368e-07,0.5061075687408447,8.872257471084595,0.44361287355422974
5184,20,5184.0,7,0.0234375,9.110725045502477e-05,8.046627044677734e-07,1.0031487818196183e-07,16.022460162639618,4.7490934e-07,1.93508657855097e-14,1.3910738516642596e-07,0.4889594793319702,8.893975472450256,0.4446987736225128
5184,20,5184.0,8,0.0234375,9.110725045502477e-05,7.800263119861484e-07,9.892622188090172e-08,20.46022117137909,4.6715763e-07,1.8954732193001388e-14,1.3767618156634853e-07,0.49083552360534666,8.80865352153778,0.44043267607688896
9216,20,2167.45,2,0.0078125,1.7083341674606345e-05,0.1521744728088379,0.007944004610180855,319528.5400390625,0.03818001,0.0002916308876592666,0.01707720384001732,0.8818278789520264,3.4202016115188596,0.17101008057594297
9216,20,3472.95,3,0.01171875,2.562501038028131e-05,0.02230280637741089,0.000605868874117732,5001.258087158203,0.0029238316,3.3378235002601286e-06,0.0018269710708409548,0.8296806812286377,5.452478289604188,0.2726239144802094
9216,20,5058.4,4,0.0,0.0,0.0013332962989807129,2.2422836991609074e-05,120.0241208076477,0.00010805045,9.575959580843119e-09,9.785683505469933e-05,0.8170217752456665,7.914766573905945,0.39573832869529724
9216,20,6920.55,5,0.00390625,8.541670126760437e-06,2.962350845336914e-05,4.908188770968991e-07,20.164336264133453,2.3367868e-06,4.261785802733842e-12,2.064409272861667e-06,0.8483477354049682,11.09397749900818,0.5546988749504089
9216,20,8646.9,6,0.00390625,8.541670126760437e-06,1.2814998626708984e-06,1.4554626659446512e-07,12.682664394378662,6.884431e-07,4.27526327599452e-14,2.0676709766576096e-07,0.8143215656280518,14.547844409942629,0.7273922204971315
9216,20,9178.3,7,0.0078125,1.7083338832435402e-05,1.1324882507324219e-06,1.3361034234549152e-07,54.39695715904236,6.3211087e-07,3.6198989769239964e-14,1.902603230519162e-07,0.8254149436950684,15.790181016921997,0.7895090508460998
9216,20,9216.0,8,0.00390625,8.541671547845908e-06,7.152557373046875e-07,9.816766066705895e-08,22.303272783756256,4.646771e-07,1.8724098673991198e-14,1.3683602162473107e-07,0.8278611898422241,15.997580456733704,0.7998790228366852
12288,20,3145.85,2,0.2109375,0.00034594841054058634,0.1520366668701172,0.007346412166953087,656436.81640625,0.035316877,0.00022990799334365875,0.015162717550992966,1.0986868858337402,4.89544312953949,0.24477215647697448
12288,20,5104.35,3,0.01171875,1.92193581938227e-05,0.022191792726516724,0.0004625654255505651,19627.301025390625,0.0022714054,1.9229003100917907e-06,0.0013866868102923036,1.0878263473510743,7.987469744682311,0.3993734872341156
12288,20,7423.55,4,0.01953125,3.203225844572444e-05,0.0013300776481628418,1.5255338439601474e-05,204.9281358718872,7.641006e-05,4.91050844431129e-09,7.00750169926323e-05,1.1191452980041503,11.724505090713503,0.5862252545356752
12288,20,9975.85,5,0.01953125,3.203225844572444e-05,2.899765968322754e-05,3.319480015306908e-07,21.929486095905304,1.6217788e-06,1.8134656103174773e-12,1.3466498103298363e-06,1.1266777515411377,16.063673615455627,0.8031836807727813
12288,20,11859.3,6,0.0078125,1.2812905936243624e-05,1.1622905731201172e-06,1.4911216794644133e-07,22.513672709465027,7.054205e-07,4.475773254081737e-14,2.115602342200873e-07,1.0947891473770142,20.196215033531193,1.0098107516765595
12288,20,12273.55,7,0.01171875,1.92193581938227e-05,1.043081283569336e-06,1.1889676443388453e-07,12.411580979824066,5.6119165e-07,2.862255788285695e-14,1.6918203016302868e-07,1.0842039108276367,21.09265494346619,1.0546327471733095
12288,20,12288.0,8,0.01953125,3.203225844572444e-05,8.046627044677734e-07,9.90137039025285e-08,9.952297806739807,4.683768e-07,1.8895262009774663e-14,1.374600344661303e-07,1.2088999032974244,21.126448249816892,1.0563224124908446
19200,20,3747.35,2,0.4140625,0.0004346107743913308,0.15298008918762207,0.006117901299148798,inf,0.029326335,0.00020995625527575612,0.014489867724478245,1.692948317527771,6.0036194086074826,0.3001809704303741
19200,20,5756.6,3,0.0703125,7.380184570138226e-05,0.022296667098999023,0.0004247796896379441,5704.650497436523,0.0020460144,2.127307425325853e-06,0.0014585291501134634,1.6816232919692993,9.233688950538633,0.46168444752693166
19200,20,8136.05,4,0.1015625,0.0001066026584339852,0.001330733299255371,1.4605918295274023e-05,114.2327070236206,6.985582e-05,5.9942619756725435e-09,7.742262096144259e-05,1.703300380706787,13.065056419372558,0.6532528209686279
19200,20,10886.2,5,0.1015625,0.0001066026584339852,2.9295682907104492e-05,3.6615278986573685e-07,34.49224531650543,1.7259864e-06,2.6695685592659224e-12,1.6338814248229028e-06,1.7485515356063843,17.59738488197327,0.8798692440986635
19200,20,13990.0,6,0.1171875,0.0001230030875376542,1.3709068298339844e-06,1.514506493549561e-07,26.77117884159088,7.1696513e-07,4.6305888539831946e-14,2.151880238443482e-07,1.6684416294097901,22.67869050502777,1.1339345252513886
19200,20,17078.85,7,0.1015625,0.0001066026584339852,1.2814998626708984e-06,1.4912275503320416e-07,16.706229746341705,7.0525266e-07,4.481723491129609e-14,2.1170080799493007e-07,1.6662137031555175,28.11187980175018,1.405593990087509
19200,20,18709.05,8,0.1015625,0.0001066026584339852,1.430511474609375e-06,1.4993867125667748e-07,19.609008729457855,7.0793664e-07,4.560708635834715e-14,2.1355815249535226e-07,1.6599729299545287,31.71045365333557,1.5855226826667785
24000,20,4809.8,2,0.3125,0.00026240509214403573,0.15358638763427734,0.005908387713134289,440019.62890625,0.02834171,0.00018427977920509875,0.01357496902346611,2.3044408559799194,7.530459380149842,0.3765229690074921
