method,core_n,n
metis_unweighted,14406,41419
metis_unweighted,14820,42041
metis_unweighted,14257,41566
metis_unweighted,14929,43193
metis,14663,54872
metis,14747,55128
metis,15195,55396
metis,14901,54962
metis,14784,54146
metis,14855,53390
metis,14863,53865
metis,14776,53829
grid,15013,63538
grid,14793,63083
grid,14953,63516
grid,14719,63007
grid,14956,63520
grid,14734,62988
grid,14933,63592
grid,14683,62897
metis_unweighted,14868,53291
metis_unweighted,14916,53433
metis_unweighted,14873,53214
metis_unweighted,14894,53060
metis_unweighted,14898,54836
metis_unweighted,14869,54894
metis_unweighted,14580,54208
metis_unweighted,14886,55658
metis,15733,44825
metis,16381,45905
metis,16000,44948
metis,16111,45187
metis,15954,45022
metis,15566,44759
metis,15666,44585
metis,16461,46484
grid,16036,52700
grid,15963,52618
grid,16014,52410
grid,15940,52326
grid,16028,52692
grid,15957,52612
grid,16002,52398
grid,15932,52318
metis_unweighted,16352,45729
metis_unweighted,15673,44928
metis_unweighted,16379,45607
metis_unweighted,15703,44999
metis_unweighted,16278,47754
metis_unweighted,15517,46379
metis_unweighted,15945,45900
metis_unweighted,16025,46113
metis,13631,29302
metis,13689,29425
metis,14223,30264
metis,13770,29694
metis,14076,29321
metis,13693,28890
metis,13861,29346
metis,14189,29743
grid,14795,40479
grid,14542,39902
grid,14542,39783
grid,14333,39544
grid,13450,38132
grid,13220,37586
grid,13220,37472
grid,13030,37244
metis_unweighted,13553,28854
metis_unweighted,13520,28629
metis_unweighted,14071,29360
metis_unweighted,14084,29423
metis_unweighted,13800,29242
metis_unweighted,13697,28843
metis_unweighted,14263,29844
metis_unweighted,14144,29632
metis,13496,30243
metis,13502,30746
metis,13497,30357
metis,13500,30596
metis,13506,30005
metis,13506,30616
metis,13499,30126
metis,13494,30424
grid,13722,34661
grid,13559,34184
grid,13493,33759
grid,13406,33795
grid,13491,33793
grid,13391,33771
grid,13481,33915
grid,13457,33812
metis_unweighted,13497,29901
metis_unweighted,13501,29778
metis_unweighted,13501,29619
metis_unweighted,13498,29953
metis_unweighted,13504,29732
metis_unweighted,13503,30273
metis_unweighted,13493,29740
metis_unweighted,13503,29429
metis,13841,30788
metis,13531,29499
metis,13795,29609
metis,14268,30510
metis,13488,29987
metis,14095,30387
metis,14019,30328
metis,14095,30806
grid,13981,47032
grid,13760,46544
grid,14064,48017
grid,13782,47054
grid,14013,47719
grid,13854,47826
grid,13949,46891
grid,13729,46483
metis_unweighted,13502,30656
metis_unweighted,14284,32323
metis_unweighted,14089,30468
metis_unweighted,13486,30705
metis_unweighted,14179,30449
metis_unweighted,13964,30700
metis_unweighted,13594,30246
metis_unweighted,14034,31960
metis,13247,25123
metis,12496,23805
metis,12637,24671
metis,13247,25469
metis,12485,23822
metis,13142,25065
metis,12732,24585
metis,12899,24760
grid,12746,49789
grid,12998,50508
grid,12814,49920
grid,13065,50753
grid,12634,49453
grid,12926,50340
grid,12713,49356
grid,12989,50382
metis_unweighted,12943,24817
metis_unweighted,12485,24354
metis_unweighted,12919,24574
metis_unweighted,12604,24422
metis_unweighted,12716,24541
metis_unweighted,12788,24486
metis_unweighted,13247,25209
metis_unweighted,13183,25017
metis,13699,50850
metis,13752,51437
metis,13701,51418
metis,13710,51191
metis,13723,50703
metis,13724,50796
metis,13726,51931
metis,13725,51345
grid,14743,52835
grid,14293,51357
grid,13901,50337
grid,13511,49519
grid,13901,50337
grid,13511,49519
grid,13119,48151
grid,12781,47813
metis_unweighted,13871,51613
metis_unweighted,13872,51732
metis_unweighted,14132,47851
metis_unweighted,14132,47586
metis_unweighted,13319,50535
metis_unweighted,13319,49799
metis_unweighted,13323,50101
metis_unweighted,13792,51794
metis,13285,42720
metis,13157,42357
metis,13146,41718
metis,13589,43695
metis,13560,42866
metis,13032,41992
metis,13558,42534
metis,13153,43157
grid,13328,45393
grid,13351,45528
grid,13357,45537
grid,13340,45547
grid,13321,45399
grid,13273,45309
grid,13275,45336
grid,13235,45112
metis_unweighted,13408,42211
metis_unweighted,13129,41167
metis_unweighted,13004,41582
metis_unweighted,13655,43343
metis_unweighted,13113,43198
metis_unweighted,13259,42410
metis_unweighted,13486,42984
metis_unweighted,13426,42521
metis,13190,42877
metis,13056,42474
metis,13665,43162
metis,13139,42581
metis,13268,42563
metis,13250,42508
metis,13392,42581
metis,13520,42956
grid,13511,51509
grid,13329,51014
grid,13307,51543
grid,13115,51006
grid,13406,51344
grid,13236,51058
grid,13379,51224
grid,13197,50913
metis_unweighted,13657,43345
metis_unweighted,13161,42930
metis_unweighted,13082,42715
metis_unweighted,13005,42795
metis_unweighted,13259,42752
metis_unweighted,13336,43031
metis_unweighted,13503,43152
metis_unweighted,13477,43224
metis,13640,34746
metis,13996,35498
metis,13361,34578
metis,13721,35369
metis,14045,35502
metis,13321,35019
metis,13544,35328
metis,14132,35784
grid,13811,49857
grid,13713,49665
grid,13783,49865
grid,13685,49673
grid,13776,49792
grid,13678,49600
grid,13706,49792
grid,13608,49600
metis_unweighted,14072,35720
metis_unweighted,14072,35645
metis_unweighted,14132,35867
metis_unweighted,13449,35188
metis_unweighted,14040,35810
metis_unweighted,13346,34927
metis_unweighted,13319,34892
metis_unweighted,13330,34344
metis,13821,57405
metis,13671,57178
metis,13623,56657
metis,14021,57234
metis,13488,58191
metis,13707,57340
metis,13348,56457
metis,14065,58739
grid,13719,63245
grid,13557,62416
grid,13704,63210
grid,13543,62424
grid,13907,63709
grid,13708,62368
grid,13903,63851
grid,13703,62300
metis_unweighted,13743,57746
metis_unweighted,13643,56856
metis_unweighted,13509,57764
metis_unweighted,13556,57421
metis_unweighted,13808,58378
metis_unweighted,13795,57767
metis_unweighted,13894,57833
metis_unweighted,13796,57228
metis,13131,32966
metis,13126,33200
metis,13091,32854
metis,13128,33598
metis,13506,32940
metis,13530,33403
metis,13483,34025
metis,13485,33092
grid,13431,39811
grid,13189,39593
grid,13442,39825
grid,13200,39607
grid,13442,39849
grid,13200,39636
grid,13409,39811
grid,13167,39593
metis_unweighted,13285,33721
metis_unweighted,13289,32635
metis_unweighted,13280,32965
metis_unweighted,13284,33282
metis_unweighted,13292,33379
metis_unweighted,13296,33083
metis_unweighted,13379,33069
metis_unweighted,13375,32785
metis,14420,45473
metis,13591,43140
metis,13798,43697
metis,14227,44398
metis,13591,43199
metis,14420,45785
metis,14258,45069
metis,13695,43382
grid,14316,61420
grid,14220,60956
grid,13875,60009
grid,13905,60538
grid,14137,60913
grid,14058,60658
grid,13780,60143
grid,13709,59902
metis_unweighted,13591,44095
metis_unweighted,14291,44418
metis_unweighted,13591,43218
metis_unweighted,13591,43758
metis_unweighted,14105,46075
metis_unweighted,14250,45145
metis_unweighted,14279,44862
metis_unweighted,14302,45287
metis,12873,33423
metis,13070,33244
metis,12738,33609
metis,13143,33391
metis,12933,33336
metis,12914,33177
metis,13234,33601
metis,12775,33243
grid,13044,47734
grid,12900,47734
grid,13044,47733
grid,12900,47729
grid,13044,47734
grid,12900,47734
grid,12996,47570
grid,12852,47566
metis_unweighted,13229,33683
metis_unweighted,12687,33053
metis_unweighted,12874,33197
metis_unweighted,13022,33293
metis_unweighted,13234,33518
metis_unweighted,12701,33250
metis_unweighted,13029,33203
metis_unweighted,12904,33270
metis,14010,35514
metis,13931,35394
metis,13949,35699
metis,14118,35884
metis,14067,35728
metis,13932,35500
metis,14066,35714
metis,13927,35557
grid,14110,61657
grid,13910,60660
grid,14110,61976
grid,13910,60979
grid,14110,61619
grid,13910,60621
grid,14070,61283
grid,13870,60234
metis_unweighted,14063,35904
metis_unweighted,14033,35958
metis_unweighted,14022,35451
metis_unweighted,13674,35228
metis_unweighted,14076,35824
metis_unweighted,13781,35597
metis_unweighted,14031,35399
metis_unweighted,14320,36443
metis,13120,28201
metis,13882,28864
metis,13116,28165
metis,13891,28711
metis,13916,28906
metis,13116,28183
metis,13129,28139
metis,13916,28883
grid,13465,66432
grid,13327,65508
grid,13697,66782
grid,13503,65739
grid,13602,66753
grid,13496,65961
grid,13568,66541
grid,13428,65665
metis_unweighted,13823,28791
metis_unweighted,13116,28085
metis_unweighted,13294,28322
metis_unweighted,13817,28667
metis_unweighted,13589,28363
metis_unweighted,13645,28864
metis_unweighted,13559,28439
metis_unweighted,13243,28295
metis,13142,28170
metis,12820,27776
metis,13133,28347
metis,13519,28315
metis,12778,27770
metis,12777,27592
metis,13519,28396
metis,13312,28556
grid,13185,50066
grid,13135,49791
grid,13140,49959
grid,13090,49684
grid,13165,50062
grid,13115,49787
grid,13110,49938
grid,13060,49663
metis_unweighted,12913,27469
metis_unweighted,13519,28270
metis_unweighted,13492,28077
metis_unweighted,12803,28095
metis_unweighted,12951,27727
metis_unweighted,13519,28284
metis_unweighted,12980,27521
metis_unweighted,12823,28104
metis,12623,27182
metis,12607,27154
metis,12618,26509
metis,12507,27036
metis,12994,27548
metis,13226,27975
metis,13063,28145
metis,13247,27907
grid,13016,40185
grid,12881,39937
grid,12955,40179
grid,12772,39526
grid,12920,40141
grid,12810,39844
grid,12838,40222
grid,12693,39495
metis_unweighted,12691,26755
metis_unweighted,13027,27803
metis_unweighted,12782,26945
metis_unweighted,13247,27698
metis_unweighted,12639,27242
metis_unweighted,12637,26680
metis_unweighted,12842,26770
metis_unweighted,13020,27533
metis,12684,27642
metis,13158,28679
metis,13197,28179
metis,13344,28590
metis,12985,27943
metis,13115,27919
metis,12616,27563
metis,12581,27297
grid,13074,44066
grid,12990,43864
grid,12990,43796
grid,12930,43662
grid,13002,44006
grid,12918,43804
grid,12918,43736
grid,12858,43602
metis_unweighted,13029,28147
metis_unweighted,13046,28638
metis_unweighted,13044,28425
metis_unweighted,12581,28017
metis_unweighted,12581,27716
metis_unweighted,13191,28397
metis_unweighted,12897,28255
metis_unweighted,13311,28728
metis,13288,32266
metis,13321,31777
metis,13325,32985
metis,13309,31760
metis,13325,32518
metis,13290,32668
metis,13294,32726
metis,13328,32245
grid,13442,31829
grid,13200,32117
grid,13464,31834
grid,13137,31840
grid,13442,31829
grid,13200,32117
grid,13464,31834
grid,13131,31745
metis_unweighted,13340,31631
metis_unweighted,13339,31609
metis_unweighted,13372,32417
metis_unweighted,13334,31835
metis_unweighted,13380,32018
metis_unweighted,13328,32294
metis_unweighted,13334,32599
metis_unweighted,13053,31068
metis,13279,37449
metis,13264,37510
metis,13161,37204
metis,12900,36403
metis,13002,36759
metis,13469,37912
metis,12804,37334
metis,13577,37978
grid,13249,51111
grid,13116,50517
grid,13251,51131
grid,13113,50515
grid,13251,51131
grid,13113,50517
grid,13249,51102
grid,13114,50514
metis_unweighted,13186,38002
metis_unweighted,13578,37857
metis_unweighted,13578,37366
metis_unweighted,13578,37905
metis_unweighted,12798,35784
metis_unweighted,12909,37414
metis_unweighted,12873,35520
metis_unweighted,12956,38490
metis,14625,30877
metis,14473,30979
metis,13928,30838
metis,13939,30558
metis,14361,30817
metis,14311,30722
metis,14529,31374
metis,13834,30509
grid,14256,56663
grid,14254,56663
grid,14259,56663
grid,14235,56663
grid,14259,56663
grid,14244,56663
grid,14254,56663
grid,14239,56660
metis_unweighted,14293,31047
metis_unweighted,13841,30214
metis_unweighted,14678,31013
metis_unweighted,14325,31029
metis_unweighted,14108,30463
metis_unweighted,14543,31274
metis_unweighted,14171,30886
metis_unweighted,14041,30254
metis,15634,41770
metis,15215,41382
metis,14856,41281
metis,15369,41383
metis,15340,41339
metis,14848,41414
metis,14880,40942
metis,15358,41083
grid,15468,54129
grid,15237,53771
grid,15252,54170
grid,15018,53493
grid,15357,54420
grid,15138,53979
grid,15123,53743
grid,14907,53256
metis_unweighted,15371,41914
metis_unweighted,15159,41828
metis_unweighted,14951,41141
metis_unweighted,15260,42300
metis_unweighted,15320,41280
metis_unweighted,15272,41978
metis_unweighted,14997,41414
metis_unweighted,15170,40914
metis,13117,46098
metis,12653,45392
metis,13324,47059
metis,13329,45948
metis,12696,45722
metis,13073,45672
metis,12701,46107
metis,13379,46523
grid,13153,52024
grid,13027,51660
grid,13050,51691
grid,12968,51439
grid,13095,51903
grid,13019,51698
grid,13034,51813
grid,12926,51402
metis_unweighted,13066,46656
metis_unweighted,13082,46136
metis_unweighted,13042,45120
metis_unweighted,12990,45486
metis_unweighted,13003,45010
metis_unweighted,13150,46079
metis_unweighted,12787,46077
metis_unweighted,13152,46144
metis,14065,36904
metis,13412,35885
metis,13858,36525
metis,13572,36331
metis,13604,36050
metis,13969,36793
metis,13650,36388
metis,13630,36113
grid,13839,52611
grid,13734,52340
grid,13797,52569
grid,13706,52305
grid,13741,52414
grid,13636,52144
grid,13699,52363
grid,13608,52099
metis_unweighted,14011,36573
metis_unweighted,13540,36867
metis_unweighted,13503,36175
metis_unweighted,13433,35477
metis_unweighted,13479,36356
metis_unweighted,14056,37211
metis_unweighted,13847,36477
metis_unweighted,13891,36905
metis,14026,33736
metis,14176,32824
metis,13856,32956
metis,14133,33414
metis,13590,32149
metis,13560,34336
metis,13667,32011
metis,14124,33877
grid,14107,48407
grid,13886,47527
grid,14042,49489
grid,13825,48694
grid,14076,49010
grid,13854,48016
grid,13782,48032
grid,13560,47107
metis_unweighted,13844,32827
metis_unweighted,13810,33650
metis_unweighted,13819,32870
metis_unweighted,13904,32627
metis_unweighted,14222,32992
metis_unweighted,13885,32455
metis_unweighted,13834,34658
metis_unweighted,13814,33051
metis,13659,37069
metis,13684,36597
metis,13793,37033
metis,13519,36375
metis,13577,37069
metis,14192,37505
metis,13943,37388
metis,14225,37083
grid,14040,46573
grid,13896,45890
grid,13896,46352
grid,13752,45669
grid,13896,46486
grid,13752,45802
grid,13752,46236
grid,13608,45552
metis_unweighted,13767,36135
metis_unweighted,13551,36098
metis_unweighted,14215,36881
metis_unweighted,13662,36117
metis_unweighted,13986,36878
metis_unweighted,13929,36653
metis_unweighted,14062,36159
metis_unweighted,13420,36135
metis,12748,31578
metis,12787,31331
metis,12746,31555
metis,12596,30148
metis,12960,30827
metis,12771,31883
metis,12667,30239
metis,12596,31939
grid,12774,47547
grid,12565,47251
grid,12912,47595
grid,12606,47269
grid,12937,48407
grid,12622,47154
grid,12848,47787
grid,12607,46746
metis_unweighted,12458,30324
metis_unweighted,12552,30695
metis_unweighted,12784,30640
metis_unweighted,12866,31326
metis_unweighted,13012,31429
metis_unweighted,12630,31053
metis_unweighted,12783,31048
metis_unweighted,12786,31299
metis,15477,41004
metis,15333,40650
metis,15439,40934
metis,16165,42203
metis,15521,40873
metis,15677,41564
metis,16217,41923
metis,16123,41780
grid,15755,61835
grid,15745,61741
grid,15748,61838
grid,15734,61680
grid,15747,61836
grid,15744,61682
grid,15746,61809
grid,15733,61793
metis_unweighted,15378,41123
metis_unweighted,15937,42157
metis_unweighted,15837,41369
metis_unweighted,15700,41479
metis_unweighted,15996,42119
metis_unweighted,15972,42320
metis_unweighted,15598,41498
metis_unweighted,15534,41111
metis,13721,46612
metis,13716,46455
metis,13714,47283
metis,13722,47637
metis,13718,47023
metis,13723,47290
metis,13720,46084
metis,13726,47080
grid,15569,52933
grid,14279,50195
grid,14279,50195
grid,13105,46821
grid,14279,50195
grid,13105,46821
grid,13105,46821
grid,12039,43667
metis_unweighted,13723,46648
metis_unweighted,13693,46838
metis_unweighted,13939,44859
metis_unweighted,13939,44144
metis_unweighted,13616,46963
metis_unweighted,13400,46196
metis_unweighted,13728,47450
metis_unweighted,13722,47212
metis,13921,54613
metis,14001,54455
metis,14009,54717
metis,14005,54602
metis,13989,54628
metis,14030,54601
metis,14038,54996
metis,14007,54599
grid,14210,61431
grid,13993,61107
grid,14027,61147
grid,13913,61014
grid,14051,61392
grid,13957,61158
grid,13988,61230
grid,13861,61201
metis_unweighted,14021,55039
metis_unweighted,14020,55118
metis_unweighted,14219,55500
metis_unweighted,13876,54801
metis_unweighted,13937,54099
metis_unweighted,13801,54672
metis_unweighted,14094,55596
metis_unweighted,14032,55545
metis,15292,53435
metis,15643,53782
metis,15032,52756
metis,15565,54087
metis,14903,51537
metis,14854,52659
metis,15318,53160
metis,14893,51904
grid,15405,67891
grid,15210,67306
grid,15315,67832
grid,15045,66570
grid,15270,67178
grid,15090,66759
grid,15210,67652
grid,14955,66481
metis_unweighted,15643,53840
metis_unweighted,14869,52697
metis_unweighted,14962,52265
metis_unweighted,15054,52558
metis_unweighted,15244,54285
metis_unweighted,15568,54086
metis_unweighted,14869,52377
metis_unweighted,15291,53935
metis,14062,35705
metis,14190,36767
metis,14369,36521
metis,14021,34721
metis,14003,35070
metis,13703,34651
metis,13933,34754
metis,13719,34873
grid,14035,45327
grid,13999,45342
grid,14043,45398
grid,14012,45379
grid,14011,45350
grid,13963,45220
grid,13987,45296
grid,13950,45206
metis_unweighted,14003,35151
metis_unweighted,14032,35934
metis_unweighted,14409,36960
metis_unweighted,14147,35165
metis_unweighted,13710,35032
metis_unweighted,13951,35982
metis_unweighted,13654,35357
metis_unweighted,14094,34919
metis,13304,34527
metis,13308,33807
metis,13317,34338
metis,13306,33433
metis,13315,33879
metis,13312,33580
metis,13308,34112
metis,13310,33193
grid,13441,39559
grid,13302,39119
grid,13310,38618
grid,13294,38582
grid,13279,38518
grid,13303,38439
grid,13297,38871
grid,13254,38053
metis_unweighted,13312,33363
metis_unweighted,13315,33657
metis_unweighted,13310,33864
metis_unweighted,13310,33268
metis_unweighted,13312,32930
metis_unweighted,13309,34182
metis_unweighted,13310,34156
metis_unweighted,13302,34462
metis,14332,45049
metis,13917,44060
metis,14766,45701
metis,14613,45458
metis,14137,45425
metis,14105,45337
metis,14334,44268
metis,14484,45643
grid,14480,52949
grid,14352,52163
grid,14368,52291
grid,14240,51476
grid,14432,52829
grid,14304,52040
grid,14320,52174
grid,14192,51356
metis_unweighted,14650,45194
metis_unweighted,14074,44147
metis_unweighted,14511,45047
metis_unweighted,14270,44653
metis_unweighted,13918,43807
metis_unweighted,14375,44147
metis_unweighted,14448,44697
metis_unweighted,14442,45557
metis,14617,50490
metis,14379,50180
metis,14929,50075
metis,14617,50318
metis,14633,49069
metis,15018,49836
metis,14227,49150
metis,14220,49087
grid,14662,68723
grid,14503,67830
grid,14685,68813
grid,14515,67906
grid,14660,68721
grid,14498,67822
grid,14637,68649
grid,14480,67762
metis_unweighted,14667,48133
metis_unweighted,14671,48261
metis_unweighted,14610,48611
metis_unweighted,14611,48649
metis_unweighted,14653,48636
metis_unweighted,14676,48772
metis_unweighted,14515,47789
metis_unweighted,14237,47256
metis,13756,44637
metis,13118,43344
metis,13916,46292
metis,13361,43433
metis,13639,44769
metis,13400,44332
metis,13183,44369
metis,13713,45608
grid,13867,58977
grid,13741,59070
grid,13571,58060
grid,13442,57941
grid,13588,58162
grid,13425,57464
grid,13306,57155
grid,13146,56585
metis_unweighted,13116,44436
metis_unweighted,13116,44043
metis_unweighted,13829,45385
metis_unweighted,13916,46259
metis_unweighted,13916,46860
metis_unweighted,13916,45715
metis_unweighted,13116,44879
metis_unweighted,13161,43771
metis,14555,43993
metis,14852,44086
metis,14680,43973
metis,14680,44363
metis,14681,43835
metis,14497,43651
metis,14492,43749
metis,14203,43498
grid,14617,69437
grid,14581,69340
grid,14618,69441
grid,14591,69354
grid,14575,69482
grid,14549,69313
grid,14567,69404
grid,14542,69281
